,word,frequent
403,demam,6
404,inovasi,6
405,harga,6
406,tlogosari,6
407,spkfr,6
408,nur,6
409,aids,6
410,umar,6
411,ingat,6
412,dampak,6
413,jadi,6
414,ns,6
415,masdalina,6
416,janji,6
417,ketidaknyamanannya,6
418,keluarga,6
419,selamat,6
420,royong,6
421,dukung,6
422,masak,6
423,krobokan,6
424,alhamdulillah,6
425,lab,6
426,abdul,6
427,hakam,6
428,rw,6
429,tim,6
430,edar,6
431,ganti,6
432,pusat,6
433,ri,6
434,puskesmasbaru,6
435,komplit,6
436,sd,6
437,tentu,6
438,adminmohon,6
439,sam,6
440,khusus,6
441,semarangadmin,6
442,cuma,6
443,status,6
444,ptm,6
445,batuk,6
446,koordinasi,6
447,lho,6
448,klinis,6
449,pikir,6
450,akibat,6
451,flu,6
452,mei,6
453,mimin,6
454,perhati,6
455,tunda,6
456,tulang,6
457,walikota,6
458,dftr,6
459,jarak,6
460,cm,6
461,pcr,6
462,varian,6
463,papah,6
464,hilang,6
465,sembuh,6
466,adminanak,6
467,tahun,6
468,spko,6
469,smshallo,6
470,asma,6
471,lidya,6
472,lbh,5
473,dengar,5
474,obesitas,5
475,payudara,5
476,adu,5
477,semarangfitphonelive,5
478,bareng,5
479,ika,5
480,ganggu,5
481,wahyu,5
482,sri,5
483,korban,5
484,full,5
485,main,5
486,pane,5
487,riza,5
488,manis,5
489,fitphonelivefitphonelive,5
490,linda,5
491,tanda,5
492,spkk,5
493,temu,5
494,risiko,5
495,kritik,5
496,rendah,5
497,buang,5
498,lingkung,5
499,bentuk,5
500,germas,5
501,tanggung,5
502,cair,5
503,catat,5
504,beda,5
505,sistem,5
506,acara,5
507,gerak,5
508,instagram,5
509,bla,5
510,sirup,5
511,spog,5
512,handojo,5
513,kriteria,5
514,turun,5
515,kabar,5
516,suwun,5
517,bunda,5
518,pra,5
519,diet,5
520,h,5
521,bersih,5
522,ccbaru,5
523,lewat,5
524,p,5
525,tetep,5
526,bian,5
527,rekomendasi,5
528,tunjang,5
529,buat,5
530,poo,5
531,kong,5
532,ahli,5
533,sentra,5
534,protokol,5
535,to,5
536,juli,5
537,halaman,5
538,konsultasi,5
539,tera,5
540,akses,5
541,juni,5
542,normal,5
543,paham,5
544,sm,5
545,deteksi,5
546,kurang,5
547,libur,5
548,terap,5
549,salur,5
550,konsumsi,5
551,operasi,5
552,njih,5
553,urus,5
554,asli,5
555,bbrp,5
556,balas,5
557,biaya,5
558,kelompok,5
559,ramadhan,5
560,potensi,5
561,sana,5
562,monggo,5
563,barusan,5
564,modernavaksin,5
565,share,5
566,kesana,5
567,admindosis,5
568,cerah,5
569,suami,5
570,manaadmin,5
571,adminkak,5
572,bidan,5
573,hebat,5
574,phk,5
575,vitamin,5
576,khom,5
577,wahallo,5
578,burung,5
579,pesawat,4
580,semarangfitlistners,4
581,bingung,4
582,sekar,4
583,ditindaklanjuti,4
584,desemberfitphonelive,4
585,wolbachia,4
586,kendali,4
587,ayu,4
588,stbm,4
589,angelica,4
590,ida,4
591,darurat,4
592,ms,4
593,novemberbaru,4
594,novemberprogram,4
595,kimia,4
596,bicara,4
597,prioritas,4
598,twitter,4
599,pegawai,4
600,jabat,4
601,syifa,4
602,nafas,4
603,spkj,4
604,kasihterimakasih,4
605,nuwun,4
606,tunjuk,4
607,panik,4
608,luar,4
609,nongol,4
610,poncol,4
611,leptospirosis,4
612,ngeshare,4
613,randusari,4
614,tania,4
615,alat,4
616,rusak,4
617,spesial,4
618,ramah,4
619,kamar,4
620,lumayan,4
621,selesai,4
622,kluar,4
